Fixture Name,Home Team,Away Team,Home Score,Away Score,League ID,Season ID,Match Date
Zagłębie Lubin vs Puszcza Niepołomice,,,,,453,23578,2024-08-02 16:00:00
AGF vs Sønderjyske Fodbold,,,,,271,23584,2024-08-02 17:00:00
Górnik Zabrze vs Pogoń Szczecin,,,,,453,23578,2024-08-02 18:30:00
Grazer AK vs Salzburg,,,,,181,23700,2024-08-02 18:30:00
Union Saint-Gilloise vs K. Beerschot V.A.,,,,,208,23589,2024-08-02 18:45:00
Whickham vs Carlisle City,,,,,24,23787,2024-08-02 18:45:00
Heaton Stannington vs Easington Colliery,,,,,24,23787,2024-08-02 18:45:00
Great Yarmouth Town vs Kirkley & Pakefield,,,,,24,23787,2024-08-02 18:45:00
Stansted vs Biggleswade,,,,,24,23787,2024-08-02 18:45:00
Wootton Bassett Town vs Mangotsfield United,,,,,24,23787,2024-08-02 18:45:00
Spelthorne Sports vs Burgess Hill Town,,,,,24,23787,2024-08-02 18:45:00
Dinamo Zagreb vs Istra 1961,,,,,244,23579,2024-08-02 19:00:00
AFC Liverpool vs Abbey Hey,,,,,24,23787,2024-08-02 19:00:00
Albion Sports vs Trafford,,,,,24,23787,2024-08-02 19:00:00
Sheringham vs Woodbridge Town,,,,,24,23787,2024-08-02 19:00:00
Hearts vs Rangers,,,,,501,23690,2024-08-03 11:30:00
Binfield vs Wokingham Town,,,,,24,23787,2024-08-03 11:30:00
Akron vs Dinamo Moskva,,,,,486,23642,2024-08-03 12:00:00
Veres vs Karpaty,,,,,609,23703,2024-08-03 12:30:00
Katowice vs Raków Częstochowa,,,,,453,23578,2024-08-03 12:45:00
GAIS vs Norrköping,,,,,573,22960,2024-08-03 13:00:00
Västerås SK vs AIK,,,,,573,22960,2024-08-03 13:00:00
FC Midtjylland vs Aalborg BK,,,,,271,23584,2024-08-03 14:00:00
Mechelen vs Westerlo,,,,,208,23589,2024-08-03 14:00:00
Motherwell vs Ross County,,,,,501,23690,2024-08-03 14:00:00
Krylya Sovetov vs CSKA Moskva,,,,,486,23642,2024-11-10 10:00:00
Göztepe vs Konyaspor,,,,,600,23851,2024-11-10 10:30:00
Veres vs Rukh Vynnyky,,,,,609,23703,2024-11-10 11:00:00
Stal Mielec vs Puszcza Niepołomice,,,,,453,23578,2024-11-10 11:15:00
Almere City vs Feyenoord,,,,,72,23628,2024-11-10 11:15:00
Atalanta vs Udinese,,,,,384,23746,2024-11-10 11:30:00
Spartak Moskva vs Akron,,,,,486,23642,2024-11-10 12:15:00
Cercle Brugge vs Anderlecht,,,,,208,23589,2024-11-10 12:30:00
Sheffield United vs Sheffield Wednesday,,,,,9,23672,2024-11-10 12:30:00
Silkeborg IF vs Randers FC,,,,,271,23584,2024-11-10 13:00:00
Lyngby Boldklub vs Aalborg BK,,,,,271,23584,2024-11-10 13:00:00
Real Betis vs Celta de Vigo,,,,,564,23621,2024-11-10 13:00:00
Hull City vs West Bromwich Albion,,,,,9,23672,2024-11-10 13:00:00
Córdoba vs Castellón,,,,,567,23676,2024-11-10 13:00:00
Galatasaray vs Samsunspor,,,,,600,23851,2024-11-10 13:00:00
Sion vs Luzern,,,,,591,23617,2024-11-10 13:15:00
FC Twente vs Ajax,,,,,72,23628,2024-11-10 13:30:00
SC Heerenveen vs Go Ahead Eagles,,,,,72,23628,2024-11-10 13:30:00
Blau-Weiß Linz vs Salzburg,,,,,181,23700,2024-11-10 13:30:00
Rheindorf Altach vs LASK Linz,,,,,181,23700,2024-11-10 13:30:00
Shakhtar Donetsk vs Zorya,,,,,609,23703,2024-11-10 13:30:00
Jagiellonia Białystok vs Raków Częstochowa,,,,,453,23578,2024-11-10 13:45:00
Djurgården vs Norrköping,,,,,573,22960,2024-11-10 14:00:00
Malmö FF vs Brommapojkarna,,,,,573,22960,2024-11-10 14:00:00
GAIS vs Sirius,,,,,573,22960,2024-11-10 14:00:00
Mechelen vs Sint-Truiden,,,,,208,23589,2025-02-21 19:45:00
Bristol City vs Middlesbrough,,,,,9,23672,2025-02-21 19:45:00
Leicester City vs Brentford,,,,,8,23614,2025-02-21 20:00:00
Burnley vs Sheffield Wednesday,,,,,9,23672,2025-02-21 20:00:00
Cracovia Kraków vs Jagiellonia Białystok,,,,,453,23578,2025-02-22 00:00:00
Korona Kielce vs Śląsk Wrocław,,,,,453,23578,2025-02-22 00:00:00
Lech Poznań vs Zagłębie Lubin,,,,,453,23578,2025-02-22 00:00:00
Lechia Gdańsk vs Puszcza Niepołomice,,,,,453,23578,2025-02-22 00:00:00
Motor Lublin vs Katowice,,,,,453,23578,2025-02-22 00:00:00
Piast Gliwice vs Stal Mielec,,,,,453,23578,2025-02-22 00:00:00
Radomiak Radom vs Legia Warszawa,,,,,453,23578,2025-02-22 00:00:00
Raków Częstochowa vs Górnik Zabrze,,,,,453,23578,2025-02-22 00:00:00
Widzew Lodz vs Pogoń Szczecin,,,,,453,23578,2025-02-22 00:00:00
LASK Linz vs SK Rapid,,,,,181,23700,2025-02-22 00:00:00
Austria Wien vs Salzburg,,,,,181,23700,2025-02-22 00:00:00
Sturm Graz vs Blau-Weiß Linz,,,,,181,23700,2025-02-22 00:00:00
Austria Klagenfurt vs Grazer AK,,,,,181,23700,2025-02-22 00:00:00
Rheindorf Altach vs Hartberg,,,,,181,23700,2025-02-22 00:00:00
WSG Tirol vs Wolfsberger AC,,,,,181,23700,2025-02-22 00:00:00
Shakhtar Donetsk vs Livyi Bereh,,,,,609,23703,2025-02-22 00:00:00
Inhulets vs Polissya Zhytomyr,,,,,609,23703,2025-02-22 00:00:00
Oleksandria vs Zorya,,,,,609,23703,2025-02-22 00:00:00
Rukh Vynnyky vs LNZ Cherkasy,,,,,609,23703,2025-02-22 00:00:00
Dynamo Kyiv vs Karpaty,,,,,609,23703,2025-02-22 00:00:00
Kryvbas Kryvyi Rih vs Veres,,,,,609,23703,2025-02-22 00:00:00
